,PWM,Current,
,0,3,
,21,11,
,42,11,
,63,11,
,84,19,
,105,19,
,126,27,
,147,59,
,168,90,
,189,122,
,210,124,
,231,127,
,252,129,
,273,139,
,294,178,
,315,239,
,336,251,
,357,291,
,378,335,
,399,374,
,420,378,
,441,395,
,462,483,
,483,511,
,504,576,
,525,623,
,546,633,
,567,700,
,588,756,
,609,860,
,630,876,
,651,913,
,672,998,
,693,1079,
,714,1126,
,735,1174,
,756,1255,
,777,1362,
,798,1384,
,819,1477,
,840,1565,
,861,1626,
,882,1686,
,903,1783,
,924,1871,
,945,1931,
,966,2026,
,987,2118,
,1008,2142,
,,,
